"date","FXAUDCAD","FXCNYCAD","FXEURCAD","FXGBPCAD","FXINRCAD","FXJPYCAD","FXMXNCAD","FXUSDCAD"
"2017-08-15","0.9974","0.1908","1.4957","1.6407","0.01989","0.01154","0.07151","1.2755"
"2017-08-16","1.0017","0.1897","1.4884","1.6337","0.01979","0.01148","0.07167","1.2699"
"2017-08-17","1.0010","0.1894","1.4837","1.6290","0.01971","0.01151","0.07125","1.2647"
"2017-08-18","0.9977","0.1887","1.4787","1.6197","0.01963","0.01154","0.07072","1.2586"
"2017-08-21","0.9984","0.1886","1.4844","1.6222","0.01961","0.01155","0.07120","1.2575"
"2017-08-22","0.9932","0.1884","1.4760","1.6102","0.01959","0.01147","0.07109","1.2552"
"2017-08-23","0.9924","0.1887","1.4835","1.6078","0.01961","0.01152","0.07088","1.2564"
"2017-08-24","0.9900","0.1881","1.4789","1.6047","0.01957","0.01146","0.07083","1.2529"
"2017-08-25","0.9906","0.1878","1.4821","1.6072","0.01952","0.01142","0.07086","1.2492"
"2017-08-28","0.9930","0.1887","1.4929","1.6135","0.01953","0.01143","0.07017","1.2482"
"2017-08-29","0.9970","0.1897","1.5037","1.6190","0.01955","0.01148","0.06999","1.2515"
"2017-08-30","0.9970","0.1911","1.5009","1.6287","0.01970","0.01143","0.07087","1.2605"
"2017-08-31","0.9931","0.1902","1.4887","1.6161","0.01961","0.01138","0.07039","1.2536"
"2017-09-01","0.9876","0.1889","1.4719","1.6060","0.01935","0.01125","0.06961","1.2390"
"2017-09-05","0.9899","0.1891","1.4733","1.6094","0.01929","0.01136","0.06927","1.2371"
"2017-09-06","0.9801","0.1880","1.4628","1.6008","0.01914","0.01125","0.06885","1.2264"
"2017-09-07","0.9758","0.1872","1.4585","1.5899","0.01898","0.01119","0.06866","1.2148"
"2017-09-08","0.9791","0.1873","1.4601","1.6014","0.01902","0.01126","0.06852","1.2132"
"2017-09-11","0.9743","0.1858","1.4521","1.5988","0.01897","0.01112","0.06869","1.2128"
"2017-09-12","0.9760","0.1860","1.4538","1.6140","0.01899","0.01105","0.06845","1.2159"
"2017-09-13","0.9743","0.1863","1.4517","1.6119","0.01904","0.01103","0.06858","1.2187"
"2017-09-14","0.9733","0.1860","1.4506","1.6320","0.01902","0.01103","0.06879","1.2198"
"2017-09-15","0.9754","0.1860","1.4564","1.6541","0.01900","0.01098","0.06892","1.2182"
"2017-09-18","0.9754","0.1862","1.4621","1.6540","0.01908","0.01098","0.06899","1.2238"
"2017-09-19","0.9829","0.1865","1.4712","1.6588","0.01909","0.01101","0.06911","1.2277"
"2017-09-20","0.9888","0.1867","1.4697","1.6623","0.01909","0.01100","0.06924","1.2273"
"2017-09-21","0.9787","0.1872","1.4718","1.6715","0.01904","0.01098","0.06908","1.2339"
"2017-09-22","0.9816","0.1869","1.4729","1.6670","0.01901","0.01099","0.06938","1.2317"
"2017-09-25","0.9806","0.1864","1.4634","1.6640","0.01895","0.01103","0.06906","1.2341"
"2017-09-26","0.9754","0.1864","1.4580","1.6620","0.01890","0.01103","0.06881","1.2370"
"2017-09-27","0.9755","0.1869","1.4577","1.6631","0.01889","0.01100","0.06844","1.2412"
"2017-09-28","0.9760","0.1868","1.4672","1.6728","0.01902","0.01106","0.06843","1.2450"
"2017-09-29","0.9783","0.1876","1.4742","1.6716","0.01911","0.01109","0.06868","1.2480"
"2017-10-02","0.9788","0.1879","1.4687","1.6601","0.01915","0.01110","0.06854","1.2505"
"2017-10-03","0.9780","0.1879","1.4691","1.6557","0.01908","0.01107","0.06856","1.2500"
"2017-10-04","0.9802","0.1876","1.4678","1.6553","0.01919","0.01107","0.06845","1.2479"
"2017-10-05","0.9789","0.1886","1.4699","1.6476","0.01926","0.01113","0.06842","1.2548"
"2017-10-06","0.9742","0.1886","1.4707","1.6383","0.01919","0.01112","0.06766","1.2549"
"2017-10-10","0.9732","0.1902","1.4754","1.6504","0.01916","0.01114","0.06699","1.2501"
"2017-10-11","0.9728","0.1896","1.4806","1.6506","0.01918","0.01113","0.06673","1.2498"
"2017-10-12","0.9756","0.1893","1.4770","1.6471","0.01917","0.01111","0.06647","1.2472"
"2017-10-13","0.9842","0.1898","1.4780","1.6606","0.01927","0.01116","0.06599","1.2487"
"2017-10-16","0.9848","0.1901","1.4788","1.6627","0.01936","0.01120","0.06572","1.2529"
"2017-10-17","0.9835","0.1895","1.4752","1.6538","0.01930","0.01117","0.06610","1.2548"
"2017-10-18","0.9787","0.1884","1.4708","1.6459","0.01919","0.01106","0.06622","1.2486"
"2017-10-19","0.9821","0.1886","1.4771","1.6435","0.01920","0.01109","0.06625","1.2478"
