date,CAD_per_INR
2020-03-23,0.01898
2020-03-24,0.01901
2020-03-25,0.01873
2020-03-26,0.01877
2020-03-27,0.01864
2020-03-30,0.01877
2020-03-31,0.01882
2020-04-01,0.01868
2020-04-02,0.01856
2020-04-03,0.01855
2020-04-06,0.01857
2020-04-07,0.01849
2020-04-08,0.01845
2020-04-09,0.01833
2020-04-13,0.01828
2020-04-14,0.01827
2020-04-15,0.0184
2020-04-16,0.01839
2020-04-17,0.01834
2020-04-20,0.0184
2020-04-21,0.01846
2020-04-22,0.01851
2020-04-23,0.01852
2020-04-24,0.01848
2020-04-27,0.01844
2020-04-28,0.0184
2020-04-29,0.01844
2020-04-30,0.01853
2020-05-01,0.01857
2020-05-04,0.01862
2020-05-05,0.01853
2020-05-06,0.01858
2020-05-07,0.01849
2020-05-08,0.01844
2020-05-11,0.01847
2020-05-12,0.01866
2020-05-13,0.01868
2020-05-14,0.01865
2020-05-15,0.01859
2020-05-19,0.01836
2020-05-20,0.01839
2020-05-21,0.01844
2020-05-22,0.01845
2020-05-25,0.01843
2020-05-26,0.01829
2020-05-27,0.01817
2020-05-28,0.01819
2020-05-29,0.01824
2020-06-01,0.01804
2020-06-02,0.018
2020-06-03,0.01792
2020-06-04,0.0179
2020-06-05,0.01776
2020-06-08,0.01773
2020-06-09,0.01778
2020-06-10,0.01771
2020-06-11,0.01785
2020-06-12,0.01789
2020-06-15,0.0179
2020-06-16,0.01779
2020-06-17,0.01778
2020-06-18,0.0178
2020-06-19,0.01783
2020-06-22,0.01786
2020-06-23,0.0179
2020-06-24,0.01797
2020-06-25,0.01805
2020-06-26,0.01808
2020-06-29,0.01812
2020-06-30,0.01804
2020-07-02,0.01817
2020-07-03,0.01817
2020-07-06,0.01815
2020-07-07,0.01816
2020-07-08,0.01806
2020-07-09,0.01805
2020-07-10,0.01808
2020-07-13,0.01805
2020-07-14,0.01806
2020-07-15,0.01801
2020-07-16,0.01802
2020-07-17,0.01811
2020-07-20,0.01811
2020-07-21,0.01803
2020-07-22,0.018
2020-07-23,0.0179
2020-07-24,0.01795
2020-07-27,0.01789
2020-07-28,0.01786
2020-07-29,0.01784
2020-07-30,0.01794
2020-07-31,0.0179
2020-08-04,0.01781
2020-08-05,0.01773
2020-08-06,0.01775
2020-08-07,0.01783
2020-08-10,0.01783
